PERIOD,SEASON_NAME,SEASON,CATEGORY,TAG_SALES,NET_SALES,DISCOUNT_RATE
Dec-25,2022FW,22F,BOTTOM,364559.92,91139.98,0.75
Dec-25,2022FW,22F,INNER,1758844.255,439711.0638,0.75
Dec-25,2022FW,22F,OUTER,997171.11,249292.7775,0.75
Dec-25,2022FW,22F,Wear_etc,14454.75,3613.6875,0.75
Dec-25,2023FW,23F,BOTTOM,621072.3,310536.15,0.5
Dec-25,2023FW,23F,INNER,1764656.8,882328.4,0.5
Dec-25,2023FW,23F,OUTER,2055317.72,1027658.86,0.5
Dec-25,2023FW,23F,Wear_etc,32684.88,16342.44,0.5
Dec-25,2023SS,23S,OUTER,205585.18,102792.59,0.5
Dec-25,2024FW,24F,BOTTOM,532742.28,319645.368,0.4
Dec-25,2024FW,24F,INNER,1377435.21,826461.126,0.4
Dec-25,2024FW,24F,OUTER,2267429.28,1360457.568,0.4
Dec-25,2024FW,24F,Wear_etc,27969.2,16781.52,0.4
Dec-25,2024SS,24S,OUTER,64729.67,38837.802,0.4
Dec-25,2025FW,25F,BOTTOM,1809376.8,1610345.352,0.11
Dec-25,2025FW,25F,INNER,5878840.8,5232168.312,0.11
Dec-25,2025FW,25F,OUTER,7580270.08,6746440.371,0.11
Dec-25,2025FW,25F,Wear_etc,53138.1,47292.909,0.11
Dec-25,2025SS,25S,OUTER,78340.69,69723.2141,0.11
Dec-25,2026SS,26S,BOTTOM,113052,100616.28,0.11
Dec-25,2026SS,26S,INNER,357884,318516.76,0.11
Jan-26,2022FW,22F,BOTTOM,364559.92,91139.98,0.75
Jan-26,2022FW,22F,INNER,1507580.79,376895.1975,0.75
Jan-26,2022FW,22F,OUTER,1329561.48,332390.37,0.75
Jan-26,2022FW,22F,Wear_etc,14454.75,3613.6875,0.75
Jan-26,2023FW,23F,BOTTOM,372643.38,186321.69,0.5
Jan-26,2023FW,23F,INNER,882328.4,441164.2,0.5
Jan-26,2023FW,23F,OUTER,1541488.29,770744.145,0.5
Jan-26,2023FW,23F,Wear_etc,81712.2,40856.1,0.5
Jan-26,2023SS,23S,OUTER,205585.18,102792.59,0.5
Jan-26,2024FW,24F,BOTTOM,532742.28,319645.368,0.4
Jan-26,2024FW,24F,INNER,1836580.28,1101948.168,0.4
Jan-26,2024FW,24F,OUTER,2267429.28,1360457.568,0.4
Jan-26,2024FW,24F,Wear_etc,41953.8,25172.28,0.4
Jan-26,2024SS,24S,OUTER,64729.67,38837.802,0.4
Jan-26,2025FW,25F,BOTTOM,1176094.92,1046724.479,0.11
Jan-26,2025FW,25F,INNER,3233362.44,2877692.572,0.11
Jan-26,2025FW,25F,OUTER,7250693.12,6453116.877,0.11
Jan-26,2025FW,25F,Wear_etc,35425.4,31528.606,0.11
Jan-26,2025SS,25S,BOTTOM,92301.52,55380.912,0.4
Jan-26,2025SS,25S,OUTER,78340.69,47004.414,0.4
Jan-26,2026SS,26S,BOTTOM,298639.8434,265789.4606,0.11
Jan-26,2026SS,26S,INNER,790850.2438,703856.717,0.11
Jan-26,2026SS,26S,OUTER,1958255.442,1742847.343,0.11
Feb-26,2022FW,22F,BOTTOM,182279.96,45569.99,0.75
Feb-26,2022FW,22F,INNER,753790.395,188447.5987,0.75
Feb-26,2022FW,22F,OUTER,664780.74,166195.185,0.75
Feb-26,2022FW,22F,Wear_etc,5781.9,1445.475,0.75
Feb-26,2023FW,23F,BOTTOM,124214.46,62107.23,0.5
Feb-26,2023FW,23F,INNER,441164.2,220582.1,0.5
Feb-26,2023FW,23F,OUTER,770744.145,385372.0725,0.5
Feb-26,2023FW,23F,Wear_etc,49027.32,24513.66,0.5
Feb-26,2023SS,23S,BOTTOM,112675.8,56337.9,0.5
Feb-26,2023SS,23S,INNER,420401.735,210200.8675,0.5
Feb-26,2023SS,23S,OUTER,205585.18,102792.59,0.5
Feb-26,2024FW,24F,BOTTOM,133185.57,79911.342,0.4
Feb-26,2024FW,24F,INNER,1377435.21,826461.126,0.4
Feb-26,2024FW,24F,OUTER,1133714.64,680228.784,0.4
Feb-26,2024FW,24F,Wear_etc,13984.6,8390.76,0.4
Feb-26,2024SS,24S,BOTTOM,95984.125,57590.475,0.4
Feb-26,2024SS,24S,INNER,305031.55,183018.93,0.4
Feb-26,2024SS,24S,OUTER,64729.67,38837.802,0.4
Feb-26,2025FW,25F,BOTTOM,361875.36,318450.3168,0.12
Feb-26,2025FW,25F,INNER,1763652.24,1552013.971,0.12
Feb-26,2025FW,25F,OUTER,1977461.76,1740166.349,0.12
Feb-26,2025FW,25F,Wear_etc,17712.7,15587.176,0.12
Feb-26,2025SS,25S,BOTTOM,92301.52,55380.912,0.4
Feb-26,2025SS,25S,INNER,712664.835,427598.901,0.4
Feb-26,2025SS,25S,OUTER,235022.07,141013.242,0.4
Feb-26,2025SS,25S,Wear_etc,11516.5,6909.9,0.4
Feb-26,2026SS,26S,BOTTOM,634729.2033,564908.9909,0.11
Feb-26,2026SS,26S,INNER,1143000.728,1017270.648,0.11
Feb-26,2026SS,26S,OUTER,811843.3684,722540.5979,0.11
Mar-26,2023FW,23F,BOTTOM,124214.46,62107.23,0.5
Mar-26,2023FW,23F,INNER,441164.2,220582.1,0.5
Mar-26,2023FW,23F,OUTER,256914.715,128457.3575,0.5
Mar-26,2023FW,23F,Wear_etc,32684.88,16342.44,0.5
Mar-26,2023SS,23S,BOTTOM,225351.6,78873.06,0.65
Mar-26,2023SS,23S,INNER,840803.47,294281.2145,0.65
Mar-26,2023SS,23S,OUTER,102792.59,35977.4065,0.65
Mar-26,2023SS,23S,Wear_etc,2975.69,1041.4915,0.65
Mar-26,2024FW,24F,BOTTOM,66592.785,39955.671,0.4
Mar-26,2024FW,24F,INNER,229572.535,137743.521,0.4
Mar-26,2024FW,24F,OUTER,283428.66,170057.196,0.4
Mar-26,2024FW,24F,Wear_etc,6992.3,4195.38,0.4
Mar-26,2024SS,24S,BOTTOM,383936.5,191968.25,0.5
Mar-26,2024SS,24S,INNER,1220126.2,610063.1,0.5
Mar-26,2024SS,24S,OUTER,129459.34,64729.67,0.5
Mar-26,2024SS,24S,Wear_etc,24944.94,12472.47,0.5
Mar-26,2025SS,25S,BOTTOM,184603.04,110761.824,0.4
Mar-26,2025SS,25S,INNER,950219.78,570131.868,0.4
Mar-26,2025SS,25S,OUTER,235022.07,141013.242,0.4
Mar-26,2025SS,25S,Wear_etc,16365.78,9819.468,0.4
Mar-26,2026SS,26S,BOTTOM,1918438.585,1707410.341,0.11
Mar-26,2026SS,26S,INNER,3055646.629,2719525.499,0.11
Mar-26,2026SS,26S,OUTER,2077574.108,1849040.956,0.11
