PERIOD,SEASON_NAME,SEASON,CATEGORY,AMOUNT
2025-12,2022FW,22FW,BOTTOM,364560.0
2025-12,2022FW,22FW,INNER,1758844.0
2025-12,2022FW,22FW,OUTER,997171.0
2025-12,2022FW,22FW,Wear_etc,14455.0
2025-12,2023FW,23FW,BOTTOM,621072.0
2025-12,2023FW,23FW,INNER,1764657.0
2025-12,2023FW,23FW,OUTER,2055318.0
2025-12,2023FW,23FW,Wear_etc,32685.0
2025-12,2023SS,23SS,OUTER,205585.0
2025-12,2024FW,24FW,BOTTOM,532742.0
2025-12,2024FW,24FW,INNER,1377435.0
2025-12,2024FW,24FW,OUTER,2267429.0
2025-12,2024FW,24FW,Wear_etc,27969.0
2025-12,2024SS,24SS,OUTER,64730.0
2025-12,2025FW,25FW,BOTTOM,1809377.0
2025-12,2025FW,25FW,INNER,5878841.0
2025-12,2025FW,25FW,OUTER,7580270.0
2025-12,2025FW,25FW,Wear_etc,53138.0
2025-12,2025SS,25SS,OUTER,78341.0
2025-12,2026SS,26SS,BOTTOM,113052.0
2025-12,2026SS,26SS,INNER,357884.0
2026-01,2022FW,22FW,BOTTOM,364560.0
2026-01,2022FW,22FW,INNER,1507581.0
2026-01,2022FW,22FW,OUTER,1329561.0
2026-01,2022FW,22FW,Wear_etc,14455.0
2026-01,2023FW,23FW,BOTTOM,372643.0
2026-01,2023FW,23FW,INNER,882328.0
2026-01,2023FW,23FW,OUTER,1541488.0
2026-01,2023FW,23FW,Wear_etc,81712.0
2026-01,2023SS,23SS,OUTER,205585.0
2026-01,2024FW,24FW,BOTTOM,532742.0
2026-01,2024FW,24FW,INNER,1836580.0
2026-01,2024FW,24FW,OUTER,2267429.0
2026-01,2024FW,24FW,Wear_etc,41954.0
2026-01,2024SS,24SS,OUTER,64730.0
2026-01,2025FW,25FW,BOTTOM,1176095.0
2026-01,2025FW,25FW,INNER,3233362.0
2026-01,2025FW,25FW,OUTER,7250693.0
2026-01,2025FW,25FW,Wear_etc,35425.0
2026-01,2025SS,25SS,BOTTOM,92302.0
2026-01,2025SS,25SS,OUTER,78341.0
2026-01,2026SS,26SS,BOTTOM,298640.0
2026-01,2026SS,26SS,INNER,790850.0
2026-01,2026SS,26SS,OUTER,1958255.0
2026-02,2022FW,22FW,BOTTOM,182280.0
2026-02,2022FW,22FW,INNER,753790.0
2026-02,2022FW,22FW,OUTER,664781.0
2026-02,2022FW,22FW,Wear_etc,5782.0
2026-02,2023FW,23FW,BOTTOM,124214.0
2026-02,2023FW,23FW,INNER,441164.0
2026-02,2023FW,23FW,OUTER,770744.0
2026-02,2023FW,23FW,Wear_etc,49027.0
2026-02,2023SS,23SS,BOTTOM,112676.0
2026-02,2023SS,23SS,INNER,420402.0
2026-02,2023SS,23SS,OUTER,205585.0
2026-02,2024FW,24FW,BOTTOM,133186.0
2026-02,2024FW,24FW,INNER,1377435.0
2026-02,2024FW,24FW,OUTER,1133715.0
2026-02,2024FW,24FW,Wear_etc,13985.0
2026-02,2024SS,24SS,BOTTOM,95984.0
2026-02,2024SS,24SS,INNER,305032.0
2026-02,2024SS,24SS,OUTER,64730.0
2026-02,2025FW,25FW,BOTTOM,361875.0
2026-02,2025FW,25FW,INNER,1763652.0
2026-02,2025FW,25FW,OUTER,1977462.0
2026-02,2025FW,25FW,Wear_etc,17713.0
2026-02,2025SS,25SS,BOTTOM,92302.0
2026-02,2025SS,25SS,INNER,712665.0
2026-02,2025SS,25SS,OUTER,235022.0
2026-02,2025SS,25SS,Wear_etc,11517.0
2026-02,2026SS,26SS,BOTTOM,634729.0
2026-02,2026SS,26SS,INNER,1143001.0
